Lane;Firma;Standort;Land;Email_verifiziert;Ansprechpartner;Email_Quelle;Segment/Bedarf;Kontakt_LinkedIn
Drohnen/Maritime;Nordic Unmanned;Sandnes NO;NO;post@nordicunmanned.com;Ole Benjamin Wike (CEO);nordicunmanned.com/contact;UAV-Services;
Drohnen/Maritime;Delair;Toulouse FR;FR;contact@delair.aero;Bastien Mancini (CEO & Co-Founder);delair.aero/contact-us;Mapping-Drohnen;fr.linkedin.com/in/bastien-mancini-199749137
Drohnen/Maritime;EOMAP GmbH;Seefeld;DE;info@eomap.de;Dr. Thomas Heege (CEO & Gruender);eomap.com/imprint;Gewässer-Monitoring;linkedin.com/in/thomas-heege-15216b3b/
Drohnen/Maritime;everwave GmbH;Aachen;DE;info@everwave.de;Dr. Tilman Floehr (Co-Founder & CTO);everwave.de/impressum;Plastikdetektion;linkedin.com/in/dr-tilman-floehr-36005b11b
Drohnen/Maritime;Hydromea SA;Lausanne CH;CH;legal@hydromea.com;Felix Schill (Co-Founder & CTO);hydromea.com/privacy-policy;Unterwasser-Drohnen;ch.linkedin.com/in/felixschill
Drohnen/Maritime;Germandrones GmbH;Berlin;DE;takeoff@germandrones.com;Dr. Klaus Scho (CEO);germandrones.com/en/imprint;Sicherheitsdrohnen;linkedin.com/in/dr-klaus-scho-9a28035
Drohnen/Maritime;north.io GmbH;Kiel;DE;info@north.io;Dmitry Lazutkin (CTO);north.io/imprint;Marine Geodaten;
Drohnen/Maritime;Dedrone;Kassel;DE;privacy@dedrone.com;Rene Seeber (Co-Founder & CTO);dedrone.com/legal/imprint;Counter-UAS;linkedin.com/in/ren%C3%A9-seeber-6a9715
Drohnen/Maritime;Airteam Aerial Intelligence GmbH;Berlin;DE;info@airteam.ai;Gautier Chapuis (Co-Founder & CTO);airteam.ai/en/imprint;Luftbild-Analytik;
Drohnen/Maritime;Maritime Robotics AS;Trondheim NO;NO;info@maritimerobotics.com;Arild Hepso (CTO);maritimerobotics.com/contact;USV;
Drohnen/Maritime;Toqua;Gent BE;BE;hello@toqua.ai;Casimir Morobe (Founder & CEO);toqua.ai/contact;Schiffs-KI;be.linkedin.com/in/casimir-morob%C3%A9-680b72142
Defense/Space;Alpine Eagle GmbH;München;DE;contact@alpineeagle.com;Jan-Hendrik Boelens (Founder & CEO);alpineeagle.com/imprint;C-UAS;
Defense/Space;TYTAN Technologies GmbH;München;DE;info@tytan-technologies.com;Batuhan Yumurtaci (Co-Founder & CTO);tytan-technologies.com;C-UAS/Interceptor;
Defense/Space;SATIM;Kraków PL;PL;hello@satim.co;Stanislawa Porzycka-Strzelczyk (Co-Founder & CTO);satim.co;SAR-Analytik;pl.linkedin.com/in/stanislawa-porzycka-strzelczyk
Defense/Space;SE3 Labs GmbH;München;DE;contact@se3.ai;Simon Klenk (Co-Founder & CTO);se3.ai;Spatial AI/ISR;linkedin.com/in/simon-klenk-327225170/
Defense/Space;Mayday.ai GmbH;Darmstadt;DE;info@mayday.ai;Kian Mirshahi (Founder & CEO);mayday.ai/contact;Geo-Intelligence;linkedin.com/in/kianmirshahi/
Defense/Space;Traversals Analytics GmbH;Uttenreuth;DE;info@traversals.com;Dr. Dirk Kolb;traversals.com/contact;OSINT;
Defense/Space;TEKEVER;Lissabon PT;DE;info@tekever.com;Nicolas van Hanxleden Houwert (Global Head of Data & AI);tekever.com/contact;ISR-Drohnen;linkedin.com/in/hanxleden/
Defense/Space;ICEYE;Espoo FI;FI;ir@iceye.fi;(nur IR-Mail);iceye.com/contact;SAR-Aufklärung;linkedin.com/in/shay-strong/
Defense/Space;Kuva Space;Espoo FI;FI;contact@kuvaspace.com;Dr. Michal Shimoni (Head of Analytics & Applications);kuvaspace.com/contact;Hyperspektral EO;fi.linkedin.com/in/michal-shimoni-b5b62b2a
Defense/Space;Vyoma GmbH;München;DE;contact@vyoma.space;Stefan Frey (Co-Founder & CEO);vyoma.space;Space Situational Awareness;linkedin.com/in/stefanjfrey/
Defense/Space;OKAPI:Orbits GmbH;Braunschweig;DE;contact@okapiorbits.com;Christopher Kebschull (CTO & Co-Founder);okapiorbits.space/contact;Space Traffic Mgmt;linkedin.com/in/christopher-kebschull-215331157/
Defense/Space;blackshark.ai;Graz AT;AT;careers@blackshark.ai;(nur Careers-Mail);blackshark.ai;Geospatial 3D (defense);linkedin.com/in/michaelputz/
Document/Fintech AI;Insiders Technologies GmbH;Kaiserslautern;DE;info@insiders-technologies.de;Werner Weiss (Gruender & Geschaeftsfuehrer);insiders-technologies.com/impressum;Document AI;
Document/Fintech AI;Helm & Nagel GmbH (Konfuzio);Aßlar;DE;info@konfuzio.com;Florian Zyprian (CTO & Co-Founder);konfuzio.com/de/impressum;Document AI;
Document/Fintech AI;Intelligent NLU GmbH (Otera/ex-DeepOpinion);Innsbruck AT;AT;hello@otera.ai;Stefan Engl (CEO & Co-Founder);otera.ai/legal/imprint;Doc/NLU;
Document/Fintech AI;ExB Labs GmbH;München;DE;contact@exb.de;Holger Trittenbach (Head of Product & Machine Learning);exb.de/impressum;Document AI;
Document/Fintech AI;Empolis Information Mgmt GmbH;Kaiserslautern;DE;info@empolis.com;Stefan Schumacher (CTO & VP Product Development);empolis.com/impressum;Knowledge/Doc AI;
Document/Fintech AI;USU GmbH;Möglingen;DE;info@usu.com;Matthias Grabellus (Chief Product & Technology Officer);usu.com/de-de/impressum;Knowledge/Doc AI;
Document/Fintech AI;IDnow GmbH;München;DE;info@idnow.io;Daniel Keller (Chief Product & Technology Officer);idnow.io/imprint;KYC/ID-OCR;
Document/Fintech AI;Nect GmbH;Hamburg;DE;hello@nect.com;Benny Bennet Juergens (Founder & CEO);nect.com/en/imprint;KYC/ID-OCR;
Document/Fintech AI;WebID Solutions GmbH;Berlin;DE;service@webid-solutions.de;Sven Jorga (CTO & Mitgruender);webid-solutions.com/impressum;KYC/ID-OCR;
Document/Fintech AI;PXL Vision AG;Zürich CH;CH;info@pxl-vision.com;Michael Born (Founder & CEO);pxl-vision.com/en/imprint;KYC/ID-OCR;linkedin.com/in/michael-born-10744517/
Document/Fintech AI;Legartis Technology AG;Zürich CH;CH;info@legartis.ai;David Alain Bloch (CEO & Co-Founder);legartis.ai/legal-notice;LegalTech;ch.linkedin.com/in/davidabloch
Document/Fintech AI;BRYTER GmbH;Frankfurt;DE;info@bryter.io;Michael Grupp (CEO & Co-Founder);bryter.com/imprint;LegalTech;linkedin.com/in/michael-grupp/
Document/Fintech AI;Cognotekt GmbH;Köln;DE;info@cognotekt.com;Jobst Landgrebe (Founder & Managing Director);cognotekt.com/de/impressum;InsurTech/Doc AI;
Document/Fintech AI;ACTICO GmbH;Friedrichshafen;DE;info@actico.com;Timo Jakob (CTO);actico.com/imprint;Compliance/FinTech;
Document/Fintech AI;Taxy.io GmbH;Aachen;DE;info@taxy.io;Steffen Kirchhoff (Co-Founder & CTO);taxy.io/impressum;Steuer/LegalTech;
Document/Fintech AI;Candis GmbH;Berlin;DE;info@candis.io;Aleksander Heimrath (CTO);candis.io/impressum;Rechnungs-KI;linkedin.com/in/aleksander-heimrath-3503b229/
Document/Fintech AI;BuchhaltungsButler GmbH;Berlin;DE;administration@buchhaltungsbutler.de;Konrad Nerger (Co-Founder & CTO);buchhaltungsbutler.de/impressum;Beleg-KI;
Document/Fintech AI;fino run GmbH;Kassel;DE;hello@fino.digital;Bjoern Kahle (Co-Founder / COO);fino.digital/impressum;Banking-Doc-AI;de.linkedin.com/in/bjoern-kahle
Document/Fintech AI;ONDEWO GmbH;Wien AT;AT;office@ondewo.com;Andreas S. Rath (Co-Founder, CEO & CTO);ondewo.com/en/imprint;NLU/Finance;at.linkedin.com/in/asrath
Retail/Logistik CV;auvisus GmbH;Karlsruhe;DE;info@auvisus.com;GF Schweikardt/Gauthier;auvisus.com/impressum;Retail Self-Checkout;
Retail/Logistik CV;snabble GmbH;Bonn;DE;info@snabble.io;GF Mancke/Queisler;snabble.io/en/imprint;Smart Store;
Retail/Logistik CV;Crosscan GmbH;Witten;DE;hello@crosscan.com;Benjamin Schilp;crosscan.com/impressum;Personenzählung;
Retail/Logistik CV;Dallmeier electronic GmbH;Regensburg;DE;info@dallmeier.com;Thomas Dallmeier;dallmeier.com/de/impressum;Video-Analytics;
Retail/Logistik CV;Swarm Analytics GmbH;Innsbruck AT;AT;office@swarm-analytics.com;Michael Bredehorn (Co-Founder & CEO);swarm-analytics.com/imprint;Smart City/Verkehr;at.linkedin.com/in/michael-bredehorn-36a329112
Retail/Logistik CV;Vitracom GmbH;Karlsruhe;DE;info@vitracom.de;Ralph Majer;vitracom.de/impressum;Personen-/Verkehrszählung;
Retail/Logistik CV;vialytics GmbH;Stuttgart;DE;info@vialytics.com;Achim Hoth (Co-Founder & CTO);vialytics.com/imprint;Straßenzustand;linkedin.com/in/achim-hoth/
Retail/Logistik CV;Peter Park System GmbH;München;DE;info@peter-park.de;Christoph Heinle (CTO);peter-park.de/impressum;Parkraum/LPR;de.linkedin.com/in/christoph-heinle-84225bb3
Retail/Logistik CV;Ai-PARKING GmbH;Hamburg;DE;info@ai-parking.de;Moritz Dohna;ai-parking.de/impressum;Parkraum/LPR;
Retail/Logistik CV;ParkRaum-Management PRM GmbH;Erlangen;DE;info@prm-parking.com;Klaus Gumpp (Geschaeftsfuehrer);prm-parken.de/impressum;Parkraum/LPR;
Retail/Logistik CV;zone14 GmbH;Wien AT;AT;hello@zone14.ai;Lukas Groemer (Co-Founder & Co-CEO, Head of AI);zone14.ai/en/get-in-touch;Sport-Tracking;linkedin.com/in/lukas-groemer
Retail/Logistik CV;Staige GmbH (soccerwatch);Essen;DE;info@staige.com;GF Taube/Baudewig;staige.com/impressum;Sport-Video-KI;
Retail/Logistik CV;robominds GmbH;München;DE;info@robominds.de;Andreas Daeubler (Co-Founder & CTO);robominds.de/footer/impressum;Industrie-Robotik CV;
Retail/Logistik CV;Logivations GmbH;München;DE;info@logivations.com;Christoph-U. Plapp (Managing Partner);logivations.com/imprint;Warenerkennung;linkedin.com/in/christoph-plapp-55775724/
Retail/Logistik CV;CARGOMETER GmbH;Wien AT;AT;info@cargometer.com;Bernhard Obermaier (Co-Founder & GF, Dr.-Ing.);cargometer.com/imprint;Frachtvermessung;linkedin.com/in/bernhard-obermaier-37000a12/
Retail/Logistik CV;oculai GmbH;München;DE;kontakt@oculai.de;Tim Sippl (Co-Founder & CTO);en.oculai.de/kontakt;Baustellen-Monitoring;linkedin.com/in/tim-sippl
Robotics;farming revolution GmbH;Böhmenkirch;DE;info@farming-revolution.com;Maurice Gohlke (Co-Founder & Co-CEO);farming-revolution.com/de/impressum;Agrar-Robotik;de.linkedin.com/in/maurice-gohlke-999784b3
Robotics;Energy Robotics GmbH (Korial);Darmstadt;DE;info@korial.com;Marc Dassler;korial.com/imprint;Inspektions-Robotik;
Robotics;sensmore GmbH;Berlin;DE;info@sensmore.ai;Bjarne Johannsen (Co-Founder & CTO);sensmore.ai/legal/imprint;Bau-/Schwermaschinen-Robotik;linkedin.com/in/bjarne-johannsen/
Robotics;Organifarms GmbH;Konstanz;DE;info@organifarms.de;Marian Bolz (Co-Founder & CTO);organifarms.de/impressum;Agrar-Ernte-Robotik;linkedin.com/in/marian-bolz-3539431a7
Robotics;Nature Robots GmbH;Osnabrück;DE;info@nature-robots.de;Malte kleine Piening (Co-Founder & CTO);naturerobots.com/de/imprint;Agrar-Feldroboter;linkedin.com/in/malte-kleine-piening-b87462231
Robotics;EHT Eternal Horticulture Technologies GmbH;Köln;DE;hello@eternal.ag;Renji Kuncheria John (Co-Founder & CEO);eternal.ag/en/imprint;Agrar-Ernte-Robotik;
Robotics;Landhouz GmbH (AI.Land);Krefeld;DE;info@a-i.land;Dr.-Ing. Josef Franko (Founder & Geschaeftsfuehrer);landhouz.de/contactus;Agrar-Feldroboter;
Robotics;fruitcore robotics GmbH;Konstanz;DE;info@fruitcore.de;Manuel Frey (Co-Founder & CTO);fruitcore-robotics.com/en/imprint;Industrie-Cobot/Vision;linkedin.com/in/manuel-frey-a016951bb
Robotics;Gravis Robotics AG;Zürich CH;CH;contact@gravisrobotics.com;Dominic Jud (Co-Founder & CTO);gravisrobotics.com/contact;Bau-Robotik;ch.linkedin.com/in/dominic-jud-3a0990231
Robotics;sewts GmbH;München;DE;info@sewts.de;Tim Doerks (Co-Founder & CTO);sewts.com/imprint;Textil-Manipulation;linkedin.com/in/doerkstim/
Robotics;cellumation GmbH;Bremen;DE;info@cellumation.com;Claudio Uriarte (Co-Founder & CTO);cellumation.com/en/imprint;Intralogistik;de.linkedin.com/in/uriarte
Robotics;ESCARDA Technologies GmbH;Berlin;DE;sales@escarda.tech;Julio Pastrana (Founder & CEO);escarda.tech/imprint;Agrar-Laser-Weeding;de.linkedin.com/in/julio-pastrana-2091476b
Robotics;ConBotics GmbH;Berlin;DE;info@ConBotics.com;Cristian Amaya Gomez (Co-Founder & CEO);conbotics.com/impressum;Bau-Robotik;de.linkedin.com/in/cristian-amaya-g%C3%B3mez-3b89441b0
Robotics;IDEALworks GmbH;München;DE;hello@idealworks.com;Jimmy Nassif (Co-Founder & CTO);idealworks.com/de/legal/impressum;Lager-AMR;linkedin.com/in/jimmy-nassif-muc
Robotics;Voliro AG;Zürich CH;CH;contact@voliro.com;Marius Fehr (Co-Founder & CTO);voliro.com/contact;Inspektions-Drohnen NDT;linkedin.com/in/mariusfehr
LLM/GenAI;Langdock GmbH;Berlin;DE;support@langdock.com;Lennard Schmidt (Co-Founder & CEO);langdock.com/imprint;Enterprise-LLM/Agents;crunchbase.com/person/lennard-schmidt
