Prioritaet;Firma;Segment;Standort;Bedarf/Rolle;Signal;Typ;Email;Telefon;Ansprechpartner;Website;Karriereportal;LinkedIn;Quelle;Notiz
A;Agile Robots SE;Robotics (Industrie/Embodied AI);Muenchen (DE);(Senior) AI Engineer Embodied AI - Human-in-the-loop Annotation;Aktive Ausschreibung;END-USER;welcome@agile-robots.com;+49 89 277814101;;agile-robots.com;agile-robots.com/imprint;linkedin.com/company/agile-robots-ag;Indeed;Egocentric Video + Annotation at scale
A;Smart Reporting GmbH;Digital Health / LLM;Muenchen (DE);Working Student LLM Team - LLM benchmarking/fine-tuning (Eval-Daten);Aktive Ausschreibung;END-USER;info@smartreporting.de;+49 89 215540-210;Prof. Dr. Wieland Sommer, Christian Matzen;smart-reporting.com;landingpage.smart-reporting.com/contact-us;linkedin.com/company/smartreporting;startup.jobs;Aufkommender LLM-Eval/Reasoning-Datenbedarf
A;voize GmbH;Healthcare Speech AI;Berlin (DE);Senior Fullstack (Labeling-Tooling) - Data Labeling/Exploration Healthcare Speech;Aktive Ausschreibung;END-USER;via voizeai.com/contact;;Gruender: Fabio & Marcel Schmidberger, Erik Ziegler;voizeai.com;voizeai.com/contact;linkedin.com/company/voize-de;Indeed;YC W22, 140 MA, baut internes Labeling-Tooling
A;meinestadt.de GmbH;Speech AI;Koeln/Stuttgart (DE);Speech AI Evaluation Specialist Deutsch - Datenannotation & -labeling + QA;Aktive Ausschreibung;END-USER;info@meinestadt.de;+49 221 99533-0;;meinestadt.de;meinestadt.de/unternehmen/b2b/kontakt;;StepStone;Interner Speech-AI Eval/RLHF Bedarf
A;neoshare AG;Real-Estate Fintech AI;Muenchen/Frankfurt (DE);Werkstudent Data Annotation (AI) - Annotation+QA, Dataset-Mgmt, KPIs;Aktive Ausschreibung;END-USER;via neoshare.de;+49 89 262010020;;neoshare.de;neoshare.de/impressum;;startup.jobs;Baut Annotation-Prozesse neu auf - frueh genug fuer Managed Labeling
A;Nucs AI;Medical AI (klinisch);Berlin (DE);Clinical Operations & Enablement Lead - managt klinische Annotation-Teams;Aktive Ausschreibung;END-USER;via Website;;;nucs.ai;;;Indeed;Direktes Signal: internes Labeling-Budget
A;Autonomous Teaming;Autonomous Driving/Robotics;Muenchen (DE);ML Data Engineer Sensor Data - Kamera/Radar/Lidar Pipelines & Annotation;Aktive Ausschreibung;END-USER;via LinkedIn;;;;;linkedin.com/company/autonomous-teaming;LinkedIn;Klassischer AV-Annotation-Buyer
A;Sonia;Speech/ASR AI;Berlin (DE);ML Werkstudent/Praktikant - ASR/Speech-Daten;Aktive Ausschreibung;END-USER;via Website;;;;;;Indeed;Speech-Datenbedarf
A;Die Lautmaler GmbH;NLP/Audio;Berlin (DE);Werkstudent NLP - Daten-Annotation & -Pflege;Aktive Ausschreibung;END-USER;via Website;;;;;;StepStone;
A;Rohde & Schwarz;Test&Measurement/Defense Elektronik;Muenchen (DE);Werkstudent Data Acquisition & Annotation - Sensor/Signaldaten;Aktive Ausschreibung;END-USER;via rohde-schwarz.com/careers;;;rohde-schwarz.com;rohde-schwarz.com/careers;;LinkedIn;Tiefe Taschen, sicherheitssensibel
A;Kaufland (Robotics);Retail Robotics;Schwaigern (DE);Data Quality Operator for Robotics - Ground-Truth fuer Robotik;Aktive Ausschreibung;END-USER;via kaufland.de/karriere;;;kaufland.de;kaufland.de/karriere;;LinkedIn;
A;FORVIA HELLA;Automotive Tier-1 (AD);Lippstadt (DE);AI Toolbox Data Annotation Internship - LiDAR/Kamera/Radar annotieren;Aktive Ausschreibung;END-USER;via hella.com/careers;;;hella.com;hella.com/career;linkedin.com/company/hella;Indeed;Grosser Sensordaten-Labeling Bedarf
A;Mercedes-Benz AG;Automotive OEM (AD);Sindelfingen/Stuttgart (DE);Working Student Data Annotation - Bounding Boxes/Segmentation/Trajektorien;Aktive Ausschreibung;END-USER;via careers portal;;;mercedes-benz.com;careers.mercedes-benz.com;linkedin.com/company/mercedes-benz;Indeed/Glassdoor;Enterprise-Budget, AD-Annotation at scale
A;BMW Group;Automotive OEM (ADAS/AD);Muenchen (DE);Senior AI ADAS Engineer - Dataset Curation & Labeling-Strategien;Aktive Ausschreibung;END-USER;via bmwgroup.jobs;;;bmwgroup.com;bmwgroup.jobs;linkedin.com/company/bmw-group;Indeed;
A;Bosch (Cross-Domain Computing);Automotive Tier-1 (AD/GenAI);Schwieberdingen/Stuttgart (DE);Internship Data Analytics & GenAI - GenAI + Data-Workflows;Aktive Ausschreibung;END-USER;via bosch.com/careers;;;bosch-mobility.com;bosch.com/careers;linkedin.com/company/bosch;Indeed;
A;Infineon Technologies AG;Halbleiter/Industrial AI;NRW (DE);Master Thesis AI Condition Monitoring - Preprocessing+Labeling fuer ML;Aktive Ausschreibung;END-USER;via infineon.com/careers;;;infineon.com;infineon.com/careers;linkedin.com/company/infineon-technologies;Indeed;
A;Delivery Hero SE;Food Delivery / Logistics AI;Berlin (DE);Intern Data Labeler - Bilder/Text/Audio/Video labeln;Aktive Ausschreibung;END-USER;via careers.deliveryhero.com;;;deliveryhero.com;careers.deliveryhero.com;linkedin.com/company/delivery-hero;Indeed;
A;LUMA Vision GmbH;Medical Imaging (Kardiologie);Muenchen (DE) / Dublin;Medical Deep Learning CV Engineer - Imaging Dataset Prep;Aktive Ausschreibung;END-USER;via lumavision.com/contact-us;;;lumavision.com;lumavision.com/open-careers;linkedin.com/company/lumavision;Indeed;
A;mpathic;Health NLP / LLM Eval;Berlin (DE);Mental Health Expert (Data/Eval) - Verhaltensdaten-Labeling/Moderation;Aktive Ausschreibung;END-USER;via Website;;;mpathic.ai;;;Indeed;Conversational-AI Eval
A;Canva;Design SaaS / GenAI;Berlin (DE);AI Quality Evaluator German - GenAI-Output bewerten;Aktive Ausschreibung;END-USER;via canva.com/careers;;;canva.com;canva.com/careers;;LinkedIn;Grosskonzern - ggf. eigene Pipelines
A;xAI;AI Lab (Foundation Models);Remote/Berlin;Human Data / AI Tutor - Expert Human Data, RLHF-Tutoring, Domain-Reasoning;Aktive Ausschreibung;END-USER;via jobs;;;x.ai;x.ai/careers;;startup-insider;Reasoning-Work-Signal, aber grosse eigene Pipelines
A;Bliq (Bliq GmbH);Autonomous Driving;Berlin (DE);Autonomous Driving Engineer - Data Collection/Labeling/Simulation Infra;Aktive Ausschreibung;END-USER;hello@bliq.ai;;Imprint: Julian Glaab;bliq.ai;bliq.jobs.personio.de;;Indeed;Baut eigene Labeling/Sim-Infra
B;Fernride GmbH;Autonomous Trucking (Yard);Muenchen (DE);Autonome Yard-Trucks - annotierte Logistik-Perzeptionsdaten;Segment-Ziel;END-USER;via fernride.com/imprint;;Gruender: Hendrik Kramer u.a.;fernride.com;fernride.com/career;linkedin.com/company/fernride;Segment-Discovery;VW/DB Schenker Partner
B;Vay Technology GmbH;Teledriving/AD;Berlin (DE);Teledriving - Kamera/Scene-Annotation urbane Perzeption;Segment-Ziel;END-USER;info@vay.io;+49 176 34649004;;vay.io;vay.io/careers;linkedin.com/company/vaytechnology;Segment-Discovery;
B;Sereact GmbH;Robotics (Warehouse/Embodied AI);Stuttgart (DE);Pick-and-Place AI - annotierte Grasp/Scene-Daten;Segment-Ziel;END-USER;via sereact.ai/contact;+49 711 685-82505;Marc Tuscher, Ralf Gulde;sereact.ai;sereact.ai/en/contact;linkedin.com/company/sereact;Segment-Discovery;Series A
B;Aignostics GmbH;Medical AI (Computational Pathology);Berlin (DE);Whole-Slide-Images - expert-annotierte Pathologie;Segment-Ziel;END-USER;info@aignostics.com;+49 30 770191070;Viktor Matyas;aignostics.com;aignostics.com/contact;linkedin.com/company/aignostics;Segment-Discovery;Charite-Spinoff
B;deepc GmbH;Medical AI (Radiologie);Muenchen (DE);Radiologie-AI-OS - annotierte medizinische Bilder;Segment-Ziel;END-USER;contact@deepc.ai;;;deepc.ai;deepc.ai/contact;linkedin.com/company/deepc-ai;Segment-Discovery;
B;Floy GmbH;Medical AI (Radiologie);Muenchen (DE);Incidental Findings CT/MRI - annotierte Radiologiedaten;Segment-Ziel;END-USER;info@floy.com;+49 89 244136090;MD: Benedikt Schneider;floy.com;floy.com/careers;linkedin.com/company/floy-health;Segment-Discovery;
B;Helsing GmbH;Defense/Security AI;Muenchen/Berlin (DE);Sensor Fusion & VLA-Modelle - schwer annotierte ISR-Daten;Segment-Ziel;END-USER;contact@helsing.ai;+49 89 205095918;;helsing.ai;helsing.ai/careers;linkedin.com/company/helsing-gmbh;Segment-Discovery;Hoher struktureller Bedarf, sicherheitssensibel
B;Aleph Alpha GmbH;LLM/GenAI (Foundation Models);Heidelberg (DE);Sovereign LLMs (PhariaAI) - RLHF/Human-Preference & Annotation;Segment-Ziel;END-USER;info@aleph-alpha.com;+49 176 46697730;CEO: Jonas Andrulis (sales@aleph-alpha.com);aleph-alpha.com;aleph-alpha.com/careers;linkedin.com/company/aleph-alpha;Segment-Discovery;Reasoning-/RLHF-Datenbedarf = Kern-Fit
B;Black Forest Labs;GenAI (Bild/Video);Freiburg (DE);FLUX Text-to-Image/Video - captioned & preference-rated Daten;Segment-Ziel;END-USER;info@blackforestlabs.ai;;;bfl.ai;bfl.ai/careers;linkedin.com/company/black-forest-labs;Segment-Discovery;
B;deepset GmbH;NLP/LLM (Enterprise RAG);Berlin (DE);Haystack/RAG - annotierte Retrieval/Eval-Daten;Segment-Ziel;END-USER;info@deepset.ai;;;deepset.ai;deepset.ai/careers;linkedin.com/company/deepset;Segment-Discovery;
B;Parloa GmbH;Voice/Conversational AI;Berlin (DE);Contact-Center Voice Agents - annotierte Speech/Intent-Daten;Segment-Ziel;END-USER;via parloa.com/contact-us;;CEO: Malte Kosub (malte@parloa.com);parloa.com;parloa.com/careers;linkedin.com/company/parloa;Segment-Discovery;
B;Hypatos GmbH;Document AI/NLP;Berlin/Potsdam (DE);Financial Document AI - annotierte Rechnungen/Vertraege;Segment-Ziel;END-USER;First.Last@hypatos.ai (Muster);;MD: Dr. Ulrich Erxleben;hypatos.ai;hypatos.ai/contact;linkedin.com/company/hypatos;Segment-Discovery;
B;natif.ai GmbH;Document AI/OCR;Saarbruecken (DE);IDP/OCR - annotierte Dokumentdaten;Segment-Ziel;END-USER;contact@natif.ai;+49 172 1531376;Johannes Korves, Dr. Michael Berger;natif.ai;natif.ai/contact-message;linkedin.com/company/natif-ai;Segment-Discovery;
B;Workist GmbH;Document AI;Berlin (DE);B2B Order/Document Automation - annotierte Extraktionsdaten;Segment-Ziel;END-USER;via workist.com;;;workist.com;workist.com/careers;linkedin.com/company/workist;Segment-Discovery;
B;LiveEO GmbH;CV/Geospatial (Satellit);Berlin (DE);Infrastruktur/Rail/Grid-Analytics - labeled EO-Imagery;Segment-Ziel;END-USER;info@live-eo.com;+49 178 8552758;;live-eo.com;live-eo.com/careers;linkedin.com/company/live-eo;Segment-Discovery;
B;OroraTech GmbH;CV/Geospatial (Thermal);Muenchen (DE);Wildfire-Detection - labeled Thermal/EO-Daten;Segment-Ziel;END-USER;via ororatech.com/contact;;;ororatech.com;ororatech.com/careers;linkedin.com/company/ororatech;Segment-Discovery;
B;DeepL SE;LLM/NLP (Translation);Koeln (DE);Neural Translation/Write - labeled multilingual/preference Daten;Segment-Ziel;END-USER;via deepl.com/contact;;;deepl.com;deepl.com/jobs;linkedin.com/company/deepl;Segment-Discovery;
B;Jina AI GmbH;GenAI/Embeddings;Berlin (DE);Multimodal Embeddings/Reranker - labeled Retrieval-Pairs;Segment-Ziel;END-USER;via jina.ai;;;jina.ai;jina.ai/careers;linkedin.com/company/jinaai;Segment-Discovery;
B;Cognigy GmbH;Speech/NLP (Conversational);Duesseldorf (DE);Voice AI Platform - Intent/Utterance-Labeling;Segment-Ziel;END-USER;via cognigy.com;;;cognigy.com;cognigy.com/careers;linkedin.com/company/cognigy;Segment-Discovery;
B;Ada Health GmbH;Medical AI/NLP;Berlin (DE);Symptom-Assessment - labeled klinische/Text-Daten;Segment-Ziel;END-USER;via ada.com;;;ada.com;ada.com/careers;linkedin.com/company/ada-health;Segment-Discovery;
B;Vara;Medical AI (Mammographie);Berlin (DE);Breast-Cancer Screening - radiologen-gelabelte Imaging;Segment-Ziel;END-USER;via vara.ai;;;vara.ai;vara.ai/careers;linkedin.com/company/vara-ai;Segment-Discovery;
B;Mediaire GmbH;Medical AI (Neuro-MRT);Berlin (DE);mdbrain - segmentierte/gelabelte Hirnscans;Segment-Ziel;END-USER;via mediaire.ai;;;mediaire.ai;mediaire.ai/careers;linkedin.com/company/mediaire;Segment-Discovery;
B;Wandelbots GmbH;Robotics (Industrie);Dresden (DE);No-Code Robot Programming - Motion/Vision-Datasets;Segment-Ziel;END-USER;via wandelbots.com;;;wandelbots.com;wandelbots.com/careers;linkedin.com/company/wandelbots;Segment-Discovery;
B;Micropsi Industries;Robotics (Industrie);Berlin (DE);MIRAI AI Vision Control - labeled Image/Action-Daten;Segment-Ziel;END-USER;via micropsi-industries.com;;;micropsi-industries.com;micropsi-industries.com/careers;linkedin.com/company/micropsi-industries;Segment-Discovery;
B;RobCo GmbH;Robotics (Industrie/SME);Muenchen (DE);Modulare Roboter mit AI Vision - Perzeptions-Trainingsdaten;Segment-Ziel;END-USER;via robco.de;;;robco.de;robco.de/careers;linkedin.com/company/robco-gmbh;Segment-Discovery;
B;Magazino GmbH;Robotics (Warehouse);Muenchen (DE);Warehouse-Picking-Roboter - labeled 3D-Vision-Daten;Segment-Ziel;END-USER;via magazino.eu;;;magazino.eu;magazino.eu/careers;linkedin.com/company/magazino-gmbh;Segment-Discovery;Jungheinrich-Gruppe
B;ANYbotics AG;Robotics (Inspektion);Zuerich (CH);ANYmal Inspektion - Anomaly/Terrain-Perzeption Labeling;Segment-Ziel;END-USER;via anybotics.com;;;anybotics.com;anybotics.com/careers;linkedin.com/company/anybotics;Segment-Discovery;
B;ARX Robotics GmbH;Defense/Robotics (UGV);Muenchen (DE);Unmanned Ground Vehicles - labeled Off-Road-Perzeption;Segment-Ziel;END-USER;via arxrobotics.com;;;arxrobotics.com;arxrobotics.com/careers;linkedin.com/company/arx-robotics;Segment-Discovery;
B;Stark Defence;Defense/Security AI;Schwerin (DE);Loitering Munitions/Drohnen - Target-Recognition-Trainingsdaten;Segment-Ziel;END-USER;via stark.works;;;stark.works;stark.works/careers;linkedin.com/company/stark-defence;Segment-Discovery;
B;DeepScenario;Autonomous Driving (Validation);Muenchen (DE);3D Object Tracking - Traffic-Szenario-Daten fuer AV-Validierung;Segment-Ziel;END-USER;via deepscenario.com;;;deepscenario.com;deepscenario.com/careers;linkedin.com/company/deepscenario;Segment-Discovery;
B;Kopernikus Automotive GmbH;Autonomous Driving (AVP);Berlin (DE);Autonomous Valet Parking - labeled Sensor/Scene-Daten;Segment-Ziel;END-USER;via kopernikusauto.com;;;kopernikusauto.com;kopernikusauto.com/careers;linkedin.com/company/kopernikus-automotive;Segment-Discovery;
B;MotorAI GmbH;Autonomous Driving (L4);Berlin (DE);L4 Self-Driving Stack - grosse labeled Driving-Datasets;Segment-Ziel;END-USER;via motor-ai.com;;;motor-ai.com;motor-ai.com/careers;linkedin.com/company/motor-ai;Segment-Discovery;
B;Blickfeld GmbH;Autonomous Driving (LiDAR);Muenchen (DE);LiDAR-Perzeption - annotierte Point Clouds;Segment-Ziel;END-USER;via blickfeld.com;;;blickfeld.com;blickfeld.com/careers;linkedin.com/company/blickfeld;Segment-Discovery;
B;MOIA GmbH;Autonomous Ridepooling;Hamburg (DE);AV-Fleet - Perzeption/Sensor-Annotation;Segment-Ziel;END-USER;via moia.io/career;;;moia.io;moia.io/en/career;;LinkedIn;VW-backed
B;Cariad SE;Automotive OEM Software (VW);Wolfsburg/Ingolstadt (DE);VW AD-Stack - grosse AD-Data-Labeling;Segment-Ziel;END-USER;via cariad.technology;;;cariad.technology;cariad.technology/careers;linkedin.com/company/cariad-se;Segment-Discovery;
B;Continental (Autonomous Mobility);Automotive Tier-1;Hannover (DE);ADAS/AV-Perzeption - grosse labeled Sensor-Datasets;Segment-Ziel;END-USER;via continental.com/careers;;;continental.com;continental.com/careers;linkedin.com/company/continental;Segment-Discovery;
B;ZF Friedrichshafen AG;Automotive Tier-1;Friedrichshafen (DE);ProAI/ADAS-Perzeption - annotierte Driving-Daten;Segment-Ziel;END-USER;via zf.com/careers;;;zf.com;zf.com/careers;linkedin.com/company/zf-group;Segment-Discovery;
B;PEAT GmbH (Plantix);CV/Agriculture;Hannover/Berlin (DE);Crop Disease Recognition - grosser labeled Plant-Image-Bedarf;Segment-Ziel;END-USER;via plantix.net;;;plantix.net;plantix.net/careers;linkedin.com/company/peat-plantix;Segment-Discovery;
B;Wingcopter GmbH;CV/Drohnen (Delivery);Weiterstadt (DE);Delivery-Drone Autonomy - labeled Aerial/Obstacle-Daten;Segment-Ziel;END-USER;via wingcopter.com;;;wingcopter.com;wingcopter.com/careers;linkedin.com/company/wingcopter;Segment-Discovery;
B;36ZERO Vision GmbH;CV/Manufacturing;Aachen (DE);Visual Inspection - labeled Defect-Images;Segment-Ziel;END-USER;via 36zero-vision.com;;;36zero-vision.com;36zero-vision.com/careers;linkedin.com/company/36zero-vision;Segment-Discovery;
B;Signatrix GmbH;CV/Retail;Berlin (DE);Retail CV (Loss Prevention/Shelf) - labeled Store-Imagery;Segment-Ziel;END-USER;via signatrix.com;;;signatrix.com;signatrix.com/careers;linkedin.com/company/signatrix;Segment-Discovery;
B;Beagle Systems GmbH;Drohnen/Geospatial;Hamburg (DE);Long-Range Drone Data - labeled Aerial-Imagery;Segment-Ziel;END-USER;via beaglesystems.com;;;beaglesystems.com;beaglesystems.com/careers;linkedin.com/company/beagle-systems;Segment-Discovery;
B;constellr GmbH;CV/Geospatial/Agri;Freiburg (DE);Thermal-Satelliten Crop/Water - labeled Imagery;Segment-Ziel;END-USER;via constellr.com;;;constellr.com;constellr.com/careers;linkedin.com/company/constellr;Segment-Discovery;
B;Deepc / weitere Medical;Medical AI;Muenchen (DE);siehe deepc oben;Segment-Ziel;END-USER;contact@deepc.ai;;;deepc.ai;;;Segment-Discovery;Duplikat-Hinweis
B;Siemens Healthineers AG;Medical AI/Imaging;Erlangen (DE);AI-Rad Companion - kontinuierlicher annotierter Datenbedarf;Segment-Ziel;END-USER;via siemens-healthineers.com/careers;;;siemens-healthineers.com;siemens-healthineers.com/careers;linkedin.com/company/siemens-healthineers;Segment-Discovery;Grosskonzern
B;dSPACE GmbH;AD Simulation/Toolchains;Paderborn (DE);AV-Simulation & Data-Toolchains - Ground-Truth-Labeling;Segment-Ziel;END-USER;via dspace.com;;;dspace.com;dspace.com/careers;linkedin.com/company/dspace;Segment-Discovery;
B;TTTech Auto AG;AD Safety Software;Wien (AT);Automated Driving Safety - Perzeptions-Datenvalidierung;Segment-Ziel;END-USER;via tttech-auto.com;;;tttech-auto.com;tttech-auto.com/careers;linkedin.com/company/tttech-auto;Segment-Discovery;
B;Emotion3D GmbH;AD In-Cabin CV;Wien (AT);Driver/Occupant Monitoring - labeled Interior-Imagery;Segment-Ziel;END-USER;via emotion3d.ai;;;emotion3d.ai;emotion3d.ai/careers;linkedin.com/company/emotion3d;Segment-Discovery;
B;Scandit AG;CV/Retail (Barcode);Zuerich (CH);Object CV - labeled Scanning-Imagery;Segment-Ziel;END-USER;via scandit.com;;;scandit.com;scandit.com/careers;linkedin.com/company/scandit;Segment-Discovery;
B;Advertima AG;CV/Retail (Analytics);St. Gallen (CH);Audience/Behavior CV - labeled In-Store-Video;Segment-Ziel;END-USER;via advertima.com;;;advertima.com;advertima.com/careers;linkedin.com/company/advertima;Segment-Discovery;
X;TELUS Digital;Data-Annotation BPO;Remote (DE);QA Rater German - Content Rating BPO;VENDOR (Wettbewerber);;;;telusdigital.com;;;Indeed;NICHT anschreiben - Wettbewerber
X;Appen / Appen Butler Hill;Data-Annotation Vendor;Global/Berlin;Crowd Annotation;VENDOR (Wettbewerber);;;;appen.com;;;Indeed/CCB;NICHT anschreiben - Wettbewerber
X;RWS Group;Localization/AI-Data BPO;DE (mehrere);AI Data Specialist German;VENDOR (Wettbewerber);;;;rws.com;;;LinkedIn;NICHT anschreiben
X;Innodata Inc.;Data-Annotation BPO;Remote (DE);Language Specialist/Data Annotator;VENDOR (Wettbewerber);;;;innodata.com;;;LinkedIn;NICHT anschreiben
X;iMerit;Data-Annotation Vendor;DE;German Language Expert;VENDOR (Wettbewerber);;;;imerit.net;;;LinkedIn;NICHT anschreiben
X;Alignerr / Labelbox;Crowd Annotation Platform;Remote (DE);Video/Data Annotation;VENDOR (Wettbewerber);;;;labelbox.com;;;LinkedIn;NICHT anschreiben
X;DataAnnotation.tech / Surge AI;Crowd AI-Training Platform;Remote;AI Trainer;VENDOR (Wettbewerber);;;;dataannotation.tech;;;Indeed;NICHT anschreiben
X;CloudFactory;Managed Annotation Workforce;DE;Medical Expert Network;VENDOR (Wettbewerber);;;;cloudfactory.com;;;Indeed;NICHT anschreiben
X;WeLocalize / Welo Data;NLP-Trainingsdaten BPO;DE;AI Data Rater German;VENDOR (Wettbewerber);;;;welocalize.com;;;Indeed;NICHT anschreiben
X;Toloka / Clickworker / Mercor;Crowd Annotation Marktplaetze;Remote;diverse;VENDOR (Wettbewerber);;;;toloka.ai;;;LinkedIn;NICHT anschreiben
