Firma;Email;Status;Ansprechpartner;Quelle;Notiz
ZF Friedrichshafen AG;internetservice@zf.com;verifiziert;Kai Luecke (Corp Comms);zf.com/imprint;
dSPACE GmbH;info@dspace.de;verifiziert;Dr. Carsten Hoff (CEO);dspace.com/imprint;Mail-Domain dspace.de (nicht dspace.com)
TTTech Auto AG (jetzt TrustMotion);contact@trustmotion.com;verifiziert;Dr. Stefan Poledna u.a.;trustmotion.com/legal;Umbenannt in TrustMotion (NXP); security@tttech-auto.com noch aktiv
Beagle Systems GmbH;info@beaglesystems.com;verifiziert;Oliver Lichtenstein (GF);beaglesystems.com/impressum;persoenlich auch ol@beaglesystems.com
Vara (MX Healthcare GmbH);info@vara.ai;verifiziert;Jonas Muff, Stefan Bunk (GF);vara.ai/legal-disclosure;
Mediaire GmbH;info@mediaire.de;verifiziert;Dr. Andreas Lemke (GF);mediaire.ai/impressum;Mail-Domain mediaire.de (nicht .ai)
Ada Health GmbH;legal_ext@ada.com;verifiziert;Daniel Nathrath (GF);ada.com/de/imprint;War Cloudflare-verschleiert, entschluesselt
Siemens Healthineers AG;kontakt@siemens-healthineers.com;verifiziert;Dr. Bernhard Montag (Vorstandsvors.);siemens-healthineers.com/de/corporate-info;
DeepL SE;info@deepl.com;verifiziert;Dr. Jaroslaw Kutylowski (CEO);deepl.com/de/publisher;
Cognigy GmbH;info@cognigy.com;verifiziert;Udi Dayan, Philipp Heltewig;cognigy.com/legal-notice;
Workist GmbH;info@workist.com;verifiziert;Alexander Mueller u.a. (GF);workist.com/imprint;auch hello@workist.com
OroraTech GmbH;info@ororatech.com;verifiziert;Martin Langer (CEO);ororatech.com/imprint;
PEAT GmbH (Plantix);contact@plantix.net;verifiziert;Simone Strey, Daniel Tepe (GF);plantix.net/en/imprint;
Wingcopter GmbH;info@wingcopter.com;verifiziert;Hesselbarth, Pluemmer (GF);wingcopter.com/contact;auch career@wingcopter.com
36ZERO Vision GmbH;info@36zerovision.com;verifiziert;Heiko Huber (CEO);36zerovision.com/en/imprint;Domain korrigiert (36zerovision.com)
Signatrix GmbH;info@signatrix.com;verifiziert;Philipp Mueller, Daniel Hoepfner;signatrix.com/impressum;
constellr GmbH;info@constellr.com;verifiziert;Dr. Max Gulde, Catherine Welling;constellr.com/imprint;
Advertima AG;future@advertima.com;verifiziert;Iman Nahvi;advertima.com/imprint;
Emotion3D GmbH;office@emotion3d.ai;PRUEFEN;;emotion3d.ai/imprint;Nicht direkt abrufbar (404/Bot-Schutz) - vor Versand manuell bestaetigen
Scandit AG;privacy@scandit.com;NUR PRIVACY;;scandit.com/privacy-policy;Kein info@ auf Seite belegt - nur Datenschutz-Postfach, fuer Sales ungeeignet
Hypatos GmbH;;KEINE (nur Muster);Dr. Ulrich Erxleben;hypatos.ai/contact;Nur Muster vorname.nachname@ - nicht belegt, nicht nutzen
ANYbotics AG;;KEINE;;anybotics.com;Impressum nur Kontaktformular + security@; info@ nicht belegt
Jina AI GmbH;;KEINE;;jina.ai/legal;Von Elastic uebernommen; keine @jina.ai-Mail belegt
